AttackerClanName,DefenderClanName,AttackerName,DefenderName,EndTime,PreparationStartTime,StartTime,State,WarType,WarTag,LeagueId,Season,ClanNoStat,OpponentNoStat,ClanTag,OpponentTag,Id,WarId,AttackerTag,DefenderTag,Stars,StarsGained,DestructionPercentage,Order,Fresh,AttackerClanTag,DefenderClanTag,AttackerMapPosition,DefenderMapPosition,AttackerTownhall,DefenderTownhall,DownloadedAt,AttackerDiscordId,DefenderDiscordId,AttackerHidden,DefenderHidden,ManuallyEntered
EAGLE'S SHADOW,神性Chronos™,Lucas17Silva,❤️kiermaren❤️,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117725225,2538128,#99J0VUPRL,#80Q9YPUQU,2,0,71,69,False,#8CQPCYP2,#2L00LC0VQ,9,9,14,14,06/06/2022 05:40:26,,,False,False,False
EAGLE'S SHADOW,神性Chronos™,Sherlock,orKs Tywen,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117710522,2538128,#GQ2G8PCY,#2R9U9G90L,2,2,73,68,True,#8CQPCYP2,#2L00LC0VQ,3,6,14,14,06/06/2022 02:57:53,314088863549227008,634849319719010330,False,False,False
EAGLE'S SHADOW,神性Chronos™,Anirudhッ,Mini_K8Sv3nGe,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117707698,2538128,#20V9PC09J,#8JJV0RQJC,3,3,100,67,True,#8CQPCYP2,#2L00LC0VQ,28,30,11,11,06/06/2022 02:34:56,566135552089391104,612745800241381376,False,False,False
EAGLE'S SHADOW,神性Chronos™,Lv.22 TryHard,神性Ｎｅｊｉᵀ¹¹,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117705244,2538128,#9Y2UJJRQ9,#P8PRPUU8G,3,3,100,65,True,#8CQPCYP2,#2L00LC0VQ,29,26,11,11,06/06/2022 02:08:10,644604828567207946,655766562258681867,False,False,False
EAGLE'S SHADOW,神性Chronos™,DIGVIJAYSINH,Sekhmet,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117705243,2538128,#PU2GU89G2,#Y2L9P0JR8,2,0,63,66,False,#8CQPCYP2,#2L00LC0VQ,13,12,13,13,06/06/2022 02:08:10,,664831997436231692,False,False,False
EAGLE'S SHADOW,神性Chronos™,TimeFail_Ghost,Sekhmet,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117695838,2538128,#2GLGG0V2L,#Y2L9P0JR8,2,2,97,64,True,#8CQPCYP2,#2L00LC0VQ,14,12,13,13,06/06/2022 00:18:06,457216152519573506,664831997436231692,False,False,False
EAGLE'S SHADOW,神性Chronos™,TimeFail_Ghost,⭐️⭐️⭐️,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117695837,2538128,#2GLGG0V2L,#2CVRGYPY,2,1,58,63,False,#8CQPCYP2,#2L00LC0VQ,14,10,13,13,06/06/2022 00:18:06,457216152519573506,655766562258681867,False,False,False
神性Chronos™,EAGLE'S SHADOW,Abraracourix,PRATIK,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117690640,2538128,#2UYJ9VGQP,#2PJR0LRQJ,2,0,76,62,False,#2L00LC0VQ,#8CQPCYP2,16,15,12,13,06/05/2022 23:19:57,549651001276366858,,False,False,False
神性Chronos™,EAGLE'S SHADOW,orKs Lucas™,₄₂₀✧Nyggo✧⁶⁹ ツ,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117689504,2538128,#V8GYVVC0,#2P0LRGPGQ,2,2,74,60,True,#2L00LC0VQ,#8CQPCYP2,3,2,14,14,06/05/2022 23:08:49,,450348269839581185,False,False,False
神性Chronos™,EAGLE'S SHADOW,Abraracourix,PrInCe ThInD,06/06/2022 13:38:56,06/05/2022 16:38:56,06/05/2022 17:38:56,WarEnded,Friendly,,,,False,False,#2L00LC0VQ,#8CQPCYP2,117689503,2538128,#2UYJ9VGQP,#PYVCUYQP8,1,1,56,61,True,#2L00LC0VQ,#8CQPCYP2,16,10,12,13,06/05/2022 23:08:49,549651001276366858,,False,False,False
